ID,Age,Income,EducationLevel,WorkExperience,Satisfaction,SpendingHabits,Region,PurchaseFrequency,ProductCategory,Score1,Score2,Score3,Score4,Score5,Group
44,63,50909.32361707215,High School,51,45,49149.429967131466,North,Monthly,Food,65977.99422181102,10589.318447486978,71127.15913045777,84306.419498504,52292.43363372358,C
34,22,79413.03161015705,High School,49,19,34481.16481504647,East,Rarely,Electronics,84163.18561901986,54766.03593873588,33672.72676399553,39361.04524003225,42083.2476457735,A
51,35,70923.48999804376,Bachelor,58,40,43707.59129365997,South,Weekly,Food,33840.03829780076,62441.42161914539,30036.183270411475,78671.43942291779,50134.50799556194,C
64,36,50381.13416123238,Bachelor,32,33,80159.68530303295,West,Monthly,Books,77175.80313543421,29570.38519392383,50733.19164400275,70360.45398359177,52507.15728647248,B
34,48,46452.01858475306,PhD,63,41,74938.3907761043,West,Monthly,Clothing,64184.72482697728,53355.046840155046,38458.244593867275,11047.004861937028,42913.00053090505,A
35,40,11396.254494291541,Bachelor,36,61,19192.104525438357,North,Yearly,Clothing,53724.3393502611,76397.14503318738,72651.75249790293,60873.10608137881,70335.73135757884,C
22,40,39630.230340401526,High School,53,52,25759.25139619462,South,Rarely,Clothing,48005.78087068299,31959.55336030339,68247.77060708875,87214.11377473715,40681.11410269805,A
22,34,61685.79466734856,PhD,20,23,60640.67254008016,North,Rarely,Clothing,61829.03500663217,69553.48081816672,13760.50550239467,15945.418231356532,49346.64551434562,A
62,49,20871.034608419395,PhD,40,28,66790.415983661,North,Yearly,Books,42693.760791906745,12405.44022039498,34884.997355245236,52128.25608962357,63880.33224256315,A
33,45,78243.79111379579,PhD,55,52,63663.33414428655,South,Yearly,Clothing,56908.72553815201,54222.72514513349,50441.001695105704,52466.98197358936,66894.99151813576,B
29,23,24412.788597369985,High School,55,47,91355.86447214338,South,Yearly,Books,36144.71694416996,72980.21598687796,83563.91313953884,40993.896089308706,46056.85234678326,C
38,25,26677.992718452704,High School,55,63,56784.131937914965,South,Yearly,Electronics,54122.49361346,61115.157896874385,36102.32785496612,18102.742946385657,30396.96512095372,A
48,43,51830.83653373321,Bachelor,29,31,76324.27790599191,South,Yearly,Electronics,31281.28988132257,38231.32363509266,75121.03638825215,51502.872141120184,71713.31698063124,B
51,41,56571.52679113534,Bachelor,23,22,62802.418642696066,East,Yearly,Food,61769.76453469919,41791.65449525803,52430.30938640873,45663.49958051351,68340.4230484678,C
38,35,49750.384117706875,Bachelor,39,57,29853.55130333759,South,Monthly,Food,62174.645997478394,6705.71694034557,60467.733049353585,43629.431312666755,41419.83736776591,B
54,57,27717.053334581833,Bachelor,32,61,72426.16608096357,North,Monthly,Food,26350.69886663926,37183.62165312544,50887.51066671324,51774.096078171766,57684.66340658846,B
47,47,52011.913905217814,High School,61,28,54733.743362994006,North,Monthly,Food,65877.7315103871,70487.70527169736,37696.55577683582,26086.42954157568,54782.36673120073,C
47,38,45730.845857726075,High School,22,27,52577.70981394457,North,Monthly,Electronics,32180.916097620873,19344.371087041567,69272.17985215253,11444.958478119603,4820.881199780575,C
35,25,49027.63846132154,Bachelor,50,39,73741.22293715605,East,Rarely,Clothing,47814.51627831126,68799.37089480433,40406.52983425114,47517.300763566054,48693.299065251136,A
31,46,80425.05445316335,Bachelor,32,23,33540.61223616965,East,Monthly,Books,57672.23337143548,38252.28164357779,27237.407042484225,48854.30912804465,56524.01724972572,C
63,41,60896.11789614409,PhD,23,52,59130.86871796146,South,Weekly,Electronics,52650.2611335365,50130.237587785035,26564.97525285514,28549.960371579153,9163.177376549611,A
36,45,39337.43657136049,Bachelor,42,49,57415.700708425575,East,Yearly,Food,53344.26682061634,67895.63923563116,51930.51835205995,28705.412268154374,46496.09840143874,C
23,57,71499.69055672923,Master,45,42,59196.65366676304,South,Monthly,Electronics,61394.30747124462,16624.970664497094,6270.041806926245,94098.8773696959,49483.63719739446,B
60,53,20579.311414158223,Bachelor,21,43,51675.283614536165,East,Monthly,Books,36081.927539599026,17026.01580370812,41214.410693669895,28476.398681086957,60676.63434460276,C
31,18,45216.4661990904,High School,22,56,7379.3519562615475,South,Yearly,Books,77292.16872582318,49357.584755836164,61326.473516795966,46487.96780178554,13987.031638620094,A
38,44,39327.051810363446,High School,31,34,35855.08336284902,West,Monthly,Books,46606.790551219936,16281.13205325597,62264.383783427074,23564.756812585772,52526.20735567818,C
53,26,44673.38643350504,PhD,34,22,53539.551575683094,North,Weekly,Electronics,33548.55943929721,72044.32254169515,74138.69174822827,61919.825893771056,30280.551439710773,C
59,31,24914.53398692552,Master,46,64,26879.366334076396,West,Weekly,Clothing,45702.48820688092,30549.143670909303,58662.7200194868,38394.60358310622,44721.742280616134,C
52,40,45046.993644599745,High School,37,25,35001.45570658013,West,Yearly,Clothing,43751.695350886715,35424.47280883274,79737.41409878506,60264.88096260357,54634.18639145011,A
58,40,57062.58820899286,Master,43,31,22694.607784619653,West,Weekly,Clothing,45899.88416959037,56653.03988345118,57919.27865736896,69472.20484896496,59942.581294901334,A
59,42,12468.496729626117,Bachelor,35,26,66191.44147362107,North,Yearly,Electronics,26417.176330509334,37758.0188668113,47041.961505325715,64149.64765510041,28490.28617598051,C
47,38,40203.74295918745,Master,46,48,46934.61254289677,East,Yearly,Books,47463.91421325989,29499.77203188539,57650.00768764057,55122.634913572714,35984.81342097201,A
51,38,23717.508073478853,High School,64,59,63852.30311708953,East,Weekly,Electronics,32234.508100875188,49571.132154820276,55264.546057240266,30636.063803734778,90610.78314312868,A
61,35,44961.89215071741,High School,58,34,61493.303984206614,East,Monthly,Books,54069.48936732102,45048.96920065784,43153.89220099375,46557.344429227116,42095.28715702396,A
52,18,26303.668085131343,High School,43,47,65669.9919419395,West,Monthly,Clothing,54574.19985021984,55981.296736492484,33954.166023051825,31357.418295014424,17595.17091800602,C
30,21,97337.20478869596,PhD,19,62,65027.03365503903,North,Weekly,Books,32803.831463821756,68072.53561224464,24343.47143626404,31359.967212864547,82085.3031923801,A
38,48,22450.455616696425,Bachelor,44,28,83117.96649891566,West,Weekly,Books,31260.23941282722,7404.050410173419,58200.426808115786,62160.939404328776,38653.56899590291,B
41,31,52054.74889656836,Master,40,52,78527.91884514468,South,Weekly,Clothing,85405.59860847329,60566.96149544458,53700.58478403493,42455.421324542396,43767.637368934724,A
43,49,50547.42549054263,Master,44,50,78700.7701432821,South,Weekly,Books,31569.292073725002,77349.47033045476,13044.19695591915,29509.932941338222,57260.382658501476,A
57,53,56518.52392153629,Master,23,36,51346.689611070884,West,Monthly,Books,53612.014485371634,37652.63063059597,50770.77474331158,53571.48079013802,18021.870315263597,C
48,31,15103.635183190985,High School,23,23,52321.184709555084,South,Weekly,Books,34742.18519244524,88632.02345696738,6530.0669975871715,41282.62472108354,32341.83933353415,C
49,38,59523.2634529414,Bachelor,28,48,63329.760977251535,East,Monthly,Books,65887.59350019801,76069.06998830212,38468.05566889078,65732.18962778519,71329.07057028494,A
49,21,27972.189325631214,Master,30,39,59748.14033328695,East,Rarely,Food,45693.62280151897,81578.57406114797,64358.110758546056,65832.40296965912,29628.662304562993,A
29,63,62926.57920175461,High School,63,22,46720.481004477806,South,Monthly,Clothing,57884.744466494536,90889.41839574522,57978.41939747594,34981.02264441895,60496.95618588971,B
41,63,40689.339767890466,High School,35,41,73137.08236186029,West,Monthly,Food,35673.807529142985,80897.12440009785,7754.271663711843,84068.66815807161,59803.12446299663,C
53,50,37030.61684100319,Master,32,57,59397.26177044977,South,Weekly,Food,79019.7367876169,84481.10503777,40124.40706987982,47627.53353107782,64252.788995510426,C
35,56,43148.37360714006,Master,61,43,21184.00676955521,South,Rarely,Books,48687.75877330609,29821.064582664643,49289.4066472032,49932.07211352769,47442.30639113387,C
30,31,82818.5321418365,Master,40,33,18610.718536652712,East,Weekly,Electronics,50687.88680347993,46052.73819901366,33419.96977757335,66600.63070095271,95674.58631824533,A
55,53,61557.553512449515,Bachelor,56,50,29452.074944334618,East,Rarely,Books,57794.51233525204,44056.521543512594,89826.02775686298,59404.68242830256,38527.88948585441,C
33,52,111823.75695286448,High School,64,36,33251.69301722503,East,Monthly,Clothing,54741.64427488936,43876.56062250524,71335.95617468425,47066.65382115148,50810.4047707993,B
34,29,16454.138431166313,High School,24,44,53617.6411899308,South,Monthly,Electronics,65339.39620058755,49804.01744266238,91005.89885599507,13416.241347745949,70926.99571094924,A
54,45,53700.04078081187,PhD,33,50,68318.92224778312,West,Monthly,Food,54045.09998318985,8033.985254888597,13515.800131389835,49801.564181309266,86177.36160380403,B
49,19,83224.33740119729,Master,21,51,73123.7215728482,East,Rarely,Electronics,72449.33273037913,69684.73819312613,22327.59644205111,62978.28723114437,36953.60336056222,B
32,21,20079.763317130142,Master,33,34,55700.35311240597,North,Rarely,Food,59866.34028174064,31994.65299320194,31407.50089619337,32030.172786669576,56169.92995324718,C
20,55,18356.080490422446,Bachelor,27,35,68815.88131192917,East,Yearly,Food,38868.19953213689,32076.137063571343,60459.21229540512,73424.9362162335,38335.15194348104,A
45,39,5888.569092628808,PhD,33,60,50835.71181379653,East,Monthly,Electronics,61730.7809516744,38890.447217439534,26627.80545234911,58295.5819071759,9102.585927850174,B
21,34,65519.04269083758,Master,19,28,72553.71868441849,North,Yearly,Food,61481.36357010742,74066.20478960332,19563.48172327824,86437.47751709414,19755.24039348786,C
53,59,48494.993722357554,High School,54,26,70747.86711271753,South,Weekly,Clothing,72456.78733620277,27633.91497739524,48242.49054245045,35514.64485201287,73767.81087262419,A
39,24,48191.759650966385,Bachelor,57,37,57488.33082317089,South,Monthly,Food,76786.95044077028,43088.4602959861,49956.28968717165,37447.75058914461,34810.63885286976,C
57,59,21044.8415628544,Master,37,63,52881.225527036484,North,Yearly,Electronics,74666.36057440414,31014.218350400104,55873.91823343659,74992.5332457189,45527.32170908636,C
34,42,33182.340526863714,Bachelor,55,39,101535.88532085455,East,Monthly,Books,34835.694158784114,47441.97923223426,54481.33348654808,39037.961342920215,61757.71386495437,C
28,24,50034.748926999404,PhD,64,41,16891.099232117376,West,Weekly,Clothing,78913.29027344838,1755.276124475371,54873.53740707993,65881.91823861699,46281.909792658196,A
37,28,38842.707303991934,High School,27,20,56614.17206440369,South,Yearly,Electronics,32398.197919970175,64169.57300593599,27039.40622635155,48941.95473689927,80267.39724323567,A
61,54,71046.65196021207,Master,64,31,94325.77805852273,East,Weekly,Books,22947.483701406574,29215.649384640117,61311.847802747536,47919.38735412169,53065.04438826562,B
23,41,51740.11389633058,Bachelor,41,64,52034.51776120063,East,Yearly,Food,51666.29547305029,47436.3553984646,34443.696748346265,57787.62981724068,66506.12885116978,A
43,28,32599.73466505016,Master,27,23,47451.93631427436,West,Rarely,Clothing,28276.134150063805,50576.31070084588,2716.897932553591,63163.27034013731,20849.331888356795,A
20,30,41569.333087720224,High School,31,43,73605.38497966982,South,Rarely,Books,96908.35306790247,57086.272635812755,69483.30000229945,58319.14610360629,19915.056833007577,A
20,58,56227.95002375857,Bachelor,22,26,38976.6543479558,East,Weekly,Electronics,41572.809992823946,57034.52879791164,36528.15262454173,56848.58055211358,58913.153704185046,A
39,28,46929.982574564594,High School,29,49,67915.29861650943,South,Rarely,Food,28632.156240529872,66668.41635249545,57655.36729582817,73579.23470351938,55200.25669822024,C
64,29,36521.84319869988,High School,22,53,25804.17275479849,West,Yearly,Clothing,35680.178728556544,22233.323558618395,36513.25237005435,29802.051119695516,61410.1716898729,B
56,31,49214.60072907395,Bachelor,61,28,48127.28518362385,East,Yearly,Clothing,18429.940295574273,16805.07168331727,49164.289488424816,45603.96631148047,27702.501152294622,B
47,33,67146.3081470675,PhD,22,24,58712.434842531264,South,Monthly,Books,40866.93853010905,48650.78182061168,33872.79595997523,42187.006208624465,52132.225635797884,B
39,51,21888.30910116708,PhD,39,25,63544.63185842079,South,Rarely,Clothing,49768.0542071878,104921.62641360282,62996.78568598593,50065.13378876541,27188.17644461526,A
38,52,22143.572011907007,Master,51,41,72193.22270606748,West,Weekly,Books,71240.13674064116,28049.84463029915,80430.59304148753,14234.81217309826,15862.20379145645,A
63,44,52481.22712371948,PhD,41,41,18673.766054303687,East,Yearly,Food,44807.93389298191,56862.381659380284,56359.42440911746,40721.10904465137,31131.216981893518,B
25,56,34322.171468564746,High School,41,21,79331.27594063997,West,Weekly,Books,77804.08778381576,17656.378581873952,33595.13890816274,72898.54922179159,68402.50433108374,C
41,36,32194.838987787087,Bachelor,56,25,72703.44083512835,West,Yearly,Food,9330.637213264417,45770.69501349556,80145.21967838671,41541.04545750311,34936.649200185304,C
39,26,9906.652990644223,PhD,45,40,40140.35819190742,South,Rarely,Electronics,61158.81121545307,60664.702969978476,66516.78151189459,71353.35852259569,62360.758880674286,A
19,33,22429.887723928754,Bachelor,21,29,36536.88858849324,West,Rarely,Books,63022.82464319265,35910.30359226731,39973.244111277876,6960.276186550203,79761.60002599005,A
48,43,80156.30356098729,Bachelor,45,22,75513.40114220777,West,Monthly,Food,67807.77662266679,12675.743096907601,63747.576967742214,72434.55525850484,24353.135826091635,B
27,37,21880.168132770872,Master,25,36,40912.73512506206,West,Monthly,Clothing,86683.75365342374,38442.04027085537,41067.3493104479,37573.54480514354,50367.03899547396,B
59,27,59729.62752630949,High School,58,44,69652.89125501263,North,Rarely,Books,33354.29163704589,40035.230598571376,44150.770455766215,35789.76735880967,37585.118312029306,A
58,26,60223.66744738644,Master,45,28,50652.99143516775,West,Rarely,Clothing,25999.86036587799,62087.10899823573,42109.23378704238,97098.19214332508,61051.034046762696,A
35,53,94500.02824250751,Bachelor,39,23,54608.62690169606,East,Yearly,Clothing,76805.97442208338,75312.38741357124,37784.41961635095,38790.67593246257,33737.70239356911,B
48,50,51743.824009769596,Master,27,40,16919.6511312274,West,Yearly,Food,59022.64663360712,67324.72573538356,66270.43619435132,64985.66401166788,53063.790442706755,A
51,43,38719.79465640368,Master,56,21,83251.06629780536,East,Rarely,Electronics,77768.94180022273,56478.26334818897,37084.547759558154,67183.60249572337,78624.72070147228,C
27,50,46276.56836293673,Bachelor,54,21,70483.90362897515,South,Weekly,Electronics,44320.180571774225,51865.515309195755,22680.09737661156,39669.886377925075,84968.3849210345,B
31,44,48834.6145078955,Bachelor,44,24,61292.02675194916,West,Rarely,Clothing,37031.35641565046,35091.33438301404,32901.93582622355,32696.282260794895,69760.59999584293,C
29,55,22464.346349807725,Master,26,19,54223.15010891445,West,Monthly,Books,44777.70585565229,33391.70123221641,64131.35869131631,64416.9649135343,35692.24836344486,A
55,57,24875.469084022567,PhD,62,33,46161.310625209946,North,Weekly,Books,39290.10655295159,40176.45604956859,55693.633814077075,28219.391525158208,26150.32512462669,B
28,40,71689.52666732945,High School,34,32,52780.67153903844,North,Weekly,Electronics,60263.72802577005,50398.24424817547,58248.04583529287,47684.34889073279,55122.56046166287,B
62,32,61443.993904147384,High School,64,54,47300.677721006534,North,Rarely,Electronics,46939.13420912713,23687.21977962867,46473.99167014944,41500.259050376924,79867.61301554213,B
47,52,35714.7533700344,Master,24,48,36918.49627078601,East,Yearly,Books,60142.94415008105,46711.613388035286,78711.70352887761,73382.78716928422,78865.28676546866,A
63,42,54961.74399125714,PhD,47,58,17010.64918267577,North,Weekly,Food,89127.18180010335,29231.056859063592,83607.90854799512,29163.825373005282,39836.58154279039,B
36,46,46501.08283454256,High School,55,39,34291.755780881795,North,Yearly,Books,64739.44090040565,55466.69092868009,82757.59467700333,46888.80580559747,67515.79776530052,A
58,43,64571.78212869635,Bachelor,38,19,65223.37220487266,North,Yearly,Books,86977.12800802567,41866.653131129686,25357.271534209973,53747.53157634919,54420.78161756842,A
61,34,49290.83383200993,High School,27,34,7692.884945626887,South,Yearly,Books,60660.41603025405,67199.75596310262,69679.0624711185,64015.84205191373,29146.910963467923,B
24,54,31454.326639414947,PhD,27,54,51099.171579927126,South,Weekly,Books,41840.52370498561,41078.701838026165,34706.52332438625,72903.88770819016,34716.30020490371,A
57,18,39009.481911277864,Master,30,62,14704.426462542637,West,Rarely,Food,76388.85065871969,74746.10423161447,38411.10090049209,8397.324025546943,41647.15158665362,C
63,23,78991.25144860966,Bachelor,26,47,65411.97295647641,North,Yearly,Food,36958.15707007098,51667.96530729828,61375.82614190719,81071.92067050285,40107.29056551664,B
33,46,78520.16295270578,PhD,19,52,43059.660750191375,West,Weekly,Food,34835.85674825332,23242.684710482536,23041.60950990857,81461.6428046078,81515.38702066975,B
63,28,40326.78983555198,Master,18,35,40893.071627645986,East,Yearly,Food,32825.33297798269,77550.22697479979,67323.23931893999,51998.82551430501,71172.83576522247,C
64,43,18516.243826087146,PhD,44,52,63300.87511570768,East,Rarely,Food,54808.590217610465,74153.08966670076,93106.86354996933,31045.158384045248,62033.61192979392,B
22,20,40316.641696139275,High School,19,20,31003.83739102455,West,Weekly,Food,31839.734226344794,35529.991586039316,41597.7479328849,71169.52935595627,38956.37403176914,B
62,39,37276.81520396863,Master,24,52,68595.91976411536,North,Rarely,Books,71517.35064653849,19628.890263527934,66275.31541284692,80861.96671925994,49595.98795761717,B
39,19,57037.24987017167,High School,49,19,86548.35666354357,West,Monthly,Food,84228.18001450413,56220.38808480076,40870.56770589537,12984.88154503463,83188.3024505,A
19,46,33756.09278499652,PhD,62,64,43605.13022473382,West,Weekly,Electronics,59693.732431303615,39590.01661597523,38297.0008995749,436.89103621911636,48956.91213812633,B
62,42,38842.155888551424,PhD,41,51,38742.43189453926,East,Rarely,Food,27451.35312667589,65381.384005176835,80568.1159994383,34858.689878142264,68735.79498073354,C
60,21,63722.853046492884,High School,21,56,52320.436590992744,West,Monthly,Electronics,33589.897220818864,48465.05633497037,27554.751801608705,70251.21401616438,42121.27980056187,C
